mal_id,title,title_english,title_japanese,score,scored_by,rank,popularity,members,favorites,episodes,duration,year,season,type,status,rating,source,genres,themes,demographics,studios,producers,licensors,synopsis,background
36275,Natsume Yuujinchou Roku Specials,Natsume's Book of Friends Season 6 Specials,夏目友人帳 陸 特別編,8.4,23593.0,209.0,3352,52567,80,2.0,23 min per ep,,,Special,Finished Airing,PG-13 - Teens 13 or older,Manga,"Slice of Life, Supernatural","Iyashikei, Mythology",Shoujo,Shuka,NAZ,,"Suzunaru no Kirikabu 
On a hot summer day, Takashi Natsume and his feline companion Madara take a walk to buy jelly. Suddenly a truck passes the two, running over an old, masked man who asks Natsume for help. The mysterious individual turns out to be a youkai, the spirit of the Suzunaru tree that was recently hit by lightning and cut down. As the tree withers away, the youkai requests Natsume to fulfill his one final wish: to bring him water every day until he draws his last breath.

Mugen no Ka",
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Kaguya-sama: Love is War,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,8.4,1174481.0,207.0,51,1873756,41530,12.0,25 min per ep,2019.0,winter,TV,Finished Airing,PG-13 - Teens 13 or older,Manga,"Comedy, Romance",School,Seinen,A-1 Pictures,"Aniplex, Mainichi Broadcasting System, Magic Capsule, Shueisha, JR East Marketing & Communications",Aniplex of America,"At the renowned Shuchiin Academy, Miyuki Shirogane and Kaguya Shinomiya are the student body's top representatives. Ranked the top student in the nation and respected by peers and mentors alike, Miyuki serves as the student council president. Alongside him, the vice president Kaguya—eldest daughter of the wealthy Shinomiya family—excels in every field imaginable. They are the envy of the entire student body, regarded as the perfect couple.

However, despite both having already developed feelings",
30709,Kamisama Hajimemashita: Kako-hen,,神様はじめました～過去編～,8.4,88868.0,208.0,1466,179955,1091,4.0,30 min per ep,,,OVA,Finished Airing,PG-13 - Teens 13 or older,Manga,"Comedy, Romance, Supernatural","Mythology, Time Travel",Shoujo,TMS Entertainment,,,"While playing in the snow one day at her shrine, the land god Nanami Momozono witnesses her familiar—the fox youkai Tomoe—collapse, with dark markings appearing on his body. Tomoe's former master, Lord Mikage, appears after his long absence and places Tomoe into a magical pocket mirror in order to stave off his ailment.

Mikage explains that long ago, before he and Tomoe had met, the fox youkai was in love with a human woman. Seeking to live as a human with his beloved, he made a deal with a fal",
48561,Jujutsu Kaisen 0 Movie,Jujutsu Kaisen 0,劇場版 呪術廻戦 0,8.39,714530.0,210.0,141,1153194,10874,1.0,1 hr 44 min,,,Movie,Finished Airing,R - 17+ (violence & profanity),Manga,"Action, Supernatural",School,Shounen,MAPPA,"Mainichi Broadcasting System, TOHO animation, Shueisha, Sumzap",Crunchyroll,"Violent misfortunes frequently occur around 16-year-old Yuuta Okkotsu, a timid victim of high school bullying. Yuuta is saddled with a monstrous curse, a power that dishes out brutal revenge against his bullies. Rika Orimoto, Yuuta's curse, is a shadow from his tragic childhood and a potentially lethal threat to anyone who dares wrong him.

Yuuta's unique situation catches the attention of Satoru Gojou, a powerful sorcerer who teaches at Tokyo Prefectural Jujutsu High School. Gojou sees immense ","Jujutsu Kaisen 0 Movie covers manga chapters 0.1-0.4. On the date of the premier in Japan, December 24, 2021, guests recieved a tie-in booklet dubbed ""Volume 0.5."""
35557,Houseki no Kuni,Land of the Lustrous,宝石の国,8.39,213234.0,216.0,492,501807,14621,12.0,24 min per ep,2017.0,fall,TV,Finished Airing,PG-13 - Teens 13 or older,Manga,"Action, Drama, Fantasy, Mystery",Anthropomorphic,Seinen,Orange,"Mainichi Broadcasting System, Kodansha, Movic, AT-X, TOHO animation, Tokyo MX, Q-Tec, Kyoraku Industrial Holdings, BS11",Sentai Filmworks,"In the mysterious future, crystalline organisms called Gems inhabit a world that has been destroyed by six meteors. Each Gem is assigned a role in order to fight against the Lunarians, a species who attacks them in order to shatter their bodies and use them as decorations. 

Phosphophyllite, also known as Phos, is a young and fragile Gem who dreams of helping their friends in the war effort. Instead, they are told to compile an encyclopedia because of their delicate condition. After begrudgingly",
4921,Ramayana: The Legend of Prince Rama,Ramayana: The Legend of Prince Rama,ラーマーヤナ ラーマ王子伝説,8.39,6869.0,212.0,5994,14369,226,1.0,2 hr 15 min,,,Movie,Finished Airing,G - All Ages,Other,Adventure,,,Nippon Ramayana Film,"TEM Co., Ltd.",,"Rama, the eldest prince of the Kingdom of Ayodhya, is beloved by all and the natural successor to his father's throne. However, when one of his father's wives conspires to get her son on the throne instead, Rama ends up being banished into the woods for 14 years. Accompanied by his wife, Sita, and his brother, Lakshman—Rama tries to make the most of life in exile despite his challenges.

The trio's life in the forest is interrupted, however, when Demon King Ravan sets his sights on Sita. Using a","Ramayana: The Legend of Prince Rama, a joint production between India and Japan, is based on the Indian epic Ramayana. The original English version with Sanskrit songs was worked on by teams from both"
35851,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Maquia: When the Promised Flower Blooms,さよならの朝に約束の花をかざろう,8.39,209199.0,213.0,524,475474,8268,1.0,1 hr 54 min,,,Movie,Finished Airing,PG-13 - Teens 13 or older,Original,"Drama, Fantasy",,,P.A. Works,"Bandai Visual, Lantis, Rakuonsha, Showgate, Hakuhodo DY Music & Pictures, Cygames",Eleven Arts,"Maquia is a member of a special race called the Iorph—mystical beings who can live for hundreds of years and remain separate from the lives and daily troubles of mankind. However, Maquia has always felt lonely despite being surrounded by her people, as she was orphaned from a young age. She daydreams about the outside world, but dares not travel from her home due to the warnings of the clan's chief.

One day however, the outside world finds her, as the power-hungry kingdom of Mezarte invades her","Sayonara no Asa ni Yakusoku no Hana wo Kazarou, abbreviated as SayoAsa, is the directorial debut of screenwriter Mari Okada. Outside of Japan, the film made its international premiere at the 2018 Glas"
5028,Major S5,,メジャー,8.39,43294.0,211.0,2758,74834,647,25.0,24 min per ep,2009.0,winter,TV,Finished Airing,PG-13 - Teens 13 or older,Manga,Sports,Team Sports,Shounen,SynergySP,"Shogakukan-Shueisha Productions, NHK, NHK Enterprises",,"The Baseball World Cup is nearing, and Gorou Honda is eager to represent his country. However, one small problem stands in his way: the team roster has already been selected, and he is not a part of it. 

Nonetheless, Gorou remains adamant to join. He becomes a practice pitcher for the Japanese national team, hoping to demonstrate his incredible speed and skills to the team's manager. Fortunately, Gorou is given the chance to prove his worth: he must show an impressive performance in the upcomin",
55809,Xian Ni,Renegade Immortal,仙逆,8.39,2090.0,214.0,7473,8424,212,128.0,25 min per ep,,,ONA,Currently Airing,PG-13 - Teens 13 or older,Novel,"Action, Adventure, Fantasy",Historical,,BUILD DREAM,Tencent Video,,"Wang Lin is a very smart boy with loving parents. Although he and his parents are shunned by the rest of their relatives, his parents have always held high hopes that he will one day achieve greatness. One day, Wang Lin suddenly gained the chance to walk the path of an immortal but found that he only had mediocre talent at best. Watch Wang Lin as he breaks through his lack of talent and walks the path towards becoming a real immortal!

(Source: Xian Ni Wiki)",
53236,Road of Naruto,Road of Naruto,ROAD OF NARUTO,8.39,22062.0,,4015,37675,115,1.0,9 min,,,PV,Finished Airing,PG-13 - Teens 13 or older,Manga,"Action, Fantasy",Martial Arts,Shounen,Studio Pierrot,,,"In celebration of 20 years of Naruto, Studio Pierrot posted an anniversary PV on their YouTube channel. The PV is a compilation of newly reworked scenes from Naruto containing new animation.",
