mal_id,title,title_english,title_japanese,score,scored_by,rank,popularity,members,favorites,episodes,duration,year,season,type,status,rating,source,genres,themes,demographics,studios,producers,licensors,synopsis,background
35180,3-gatsu no Lion 2nd Season,March Comes In Like a Lion 2nd Season,3月のライオン 第2シリーズ,8.9,212384,23.0,601,432108,15363,22.0,25 min per ep,2017.0,fall,TV,Finished Airing,PG-13 - Teens 13 or older,Manga,Drama,"Childcare, Strategy Game",Seinen,Shaft,"Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace, Toy's Factory",Aniplex of America,"Now in his second year of high school, Rei Kiriyama continues pushing through his struggles in the professional shogi world as well as his personal life. Surrounded by vibrant personalities at the shogi hall, the school club, and in the local community, his solitary shell slowly begins to crack. Among them are the three Kawamoto sisters—Akari, Hinata, and Momo—who forge an affectionate and familial bond with Rei. Through these ties, he realizes that everyone is burdened by their own emotional ha",
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Gintama: The Movie: The Final Chapter: Be Forever Yorozuya,劇場版 銀魂 完結篇 万事屋よ永遠なれ,8.89,143126,24.0,1059,259036,2153,1.0,1 hr 50 min,,,Movie,Finished Airing,PG-13 - Teens 13 or older,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai, Time Travel",Shounen,Sunrise,"TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros. Japan, Shueisha",,"When Gintoki apprehends a movie pirate at a premiere, he checks the camera's footage and finds himself transported to a bleak, post-apocalyptic version of Edo, where a mysterious epidemic called the ""White Plague"" has ravished the world's population. It turns out that the movie pirate wasn't a pirate after all—it was an android time machine, and Gintoki has been hurtled five years into the future! Shinpachi and Kagura, his Yorozuya cohorts, have had a falling out and are now battle-hardened solo",
19,Monster,Monster,モンスター,8.89,492330,25.0,119,1285466,60201,74.0,24 min per ep,2004.0,spring,TV,Finished Airing,R+ - Mild Nudity,Manga,"Drama, Mystery, Suspense","Adult Cast, Psychological",Seinen,Madhouse,"VAP, Nippon Television Network, Arts Pro","VIZ Media, Discotek Media","Dr. Kenzou Tenma, an elite neurosurgeon recently engaged to his hospital director's daughter, is well on his way to ascending the hospital hierarchy. That is until one night, a seemingly small event changes Dr. Tenma's life forever. While preparing to perform surgery on someone, he gets a call from the hospital director telling him to switch patients and instead perform life-saving brain surgery on a famous performer. His fellow doctors, fiancée, and the hospital director applaud his accomplishm",
37491,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,Gintama. Silver Soul Arc - Second Half War,銀魂. 銀ノ魂篇 後半戦,8.88,105161,26.0,1234,221643,1086,14.0,24 min per ep,2018.0,summer,TV,Finished Airing,PG-13 - Teens 13 or older,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen,Bandai Namco Pictures,"TV Tokyo, Aniplex, Dentsu, Shueisha",,"Following the temporary retreat of the Altana Liberation Army from the Kabuki District, the state of the war has seemingly improved. However, as the Oniwaban, Shinsengumi, and residents of the district combat the army's remnants, Edo's greatest inventor Gengai Hiraga is abducted. Responsible for causing the enemy's withdrawal by rendering their weapons useless, Gengai's nanomachine virus is now at risk of being shut down.

Meanwhile, a laser capable of obliterating a planet is activated in Earth","Gintama. Shirogane no Tamashii-hen - Kouhan-sen was released on Blu-ray and DVD from October 24, 2018, to February 27, 2019."
51535,Shingeki no Kyojin: The Final Season - Kanketsu-hen,Attack on Titan: Final Season - The Final Chapters,進撃の巨人 The Final Season完結編,8.86,498691,27.0,261,822772,17022,2.0,1 hr 12 min per ep,,,TV Special,Finished Airing,R - 17+ (violence & profanity),Manga,"Action, Drama, Suspense","Gore, Military, Survival",Shounen,MAPPA,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises",Funimation,"In the wake of Eren Yeager's cataclysmic actions, his friends and former enemies form an alliance against his genocidal rampage. Though once bitter foes, Armin Arlert, Mikasa Ackerman, and the remaining members of the Scout Regiment join forces with Reiner Braun and the survivors of the Marleyan military. Their meager united front sets out on a mission to stop Eren's wrath and—if possible—save their old comrade in the process.

As Eren pushes forward at any cost, he battles his own internal turm",Shingeki no Kyojin: The Final Season - Kanketsu-hen adapts content from volumes 32-34 of the original manga.
35247,Owarimonogatari 2nd Season,Owarimonogatari Second Season,終物語,8.86,207206,28.0,604,430472,9034,7.0,22 min per ep,,,TV Special,Finished Airing,R - 17+ (violence & profanity),Light novel,"Comedy, Mystery, Supernatural",Vampire,,Shaft,"Aniplex, Kodansha",Aniplex of America,"Following an encounter with oddity specialist Izuko Gaen, third-year high school student Koyomi Araragi wakes up in a strange, deserted void only to be greeted by a joyfully familiar face in an alarmingly unfamiliar place.  

Araragi, with the help of his girlfriend Hitagi Senjougahara, maneuvers through the webs of his past and the perplexities of the present in search of answers. However, fate once again delivers him to the eccentric transfer student Ougi Oshino, who brings forth an unexpected",Owarimonogatari 2nd Season adapts the fifth volume of NisiOisiN's Monogatari Series: Final Season.
54492,Kusuriya no Hitorigoto,The Apothecary Diaries,薬屋のひとりごと,8.86,425526,27.0,294,762935,25141,24.0,22 min per ep,2023.0,fall,TV,Finished Airing,PG-13 - Teens 13 or older,Light novel,"Drama, Mystery","Historical, Medical",,"OLM, TOHO animation STUDIO","Dentsu, Square Enix, Nippon Television Network, TOHO animation, Shogakukan, Imagica Infos",Crunchyroll,"Maomao, an apothecary's daughter, has been plucked from her peaceful life and sold to the lowest echelons of the imperial court. Now merely a maid, Maomao settles into her new mundane life and hides her extensive knowledge of medicine in order to avoid any unwanted attention.

Not long after Maomao's arrival, the emperor's infant children inexplicably begin to experience grave symptoms—almost as if a curse has been cast. The curious Maomao easily solves the mystery and, to remain out of the lime","Kusuriya no Hitorigoto was released on Blu-ray in four volumes from January 24, 2024, to July 17, 2024."
37987,Violet Evergarden Movie,Violet Evergarden: The Movie,劇場版 ヴァイオレット・エヴァーガーデン,8.84,327944,30.0,328,705686,9580,1.0,2 hr 20 min,,,Movie,Finished Airing,PG-13 - Teens 13 or older,Light novel,"Award Winning, Drama",,,Kyoto Animation,"Shochiku, ABC Animation",Funimation,"Several years have passed since the end of The Great War. As the radio tower in Leidenschaftlich continues to be built, telephones will soon become more relevant, leading to a decline in demand for ""Auto Memory Dolls."" Even so, Violet Evergarden continues to rise in fame after her constant success with writing letters. However, sometimes the one thing you long for is the one thing that does not appear.

Violet Evergarden Movie follows Violet as she continues to comprehend the concept of emotion ",Winner of the Excellence Award at the 24th Japan Media Arts Festival. It also won the Animation of the Year award in the Film category at the Tokyo Anime Award Festival in 2021. Also the winner of the
40682,Kingdom 3rd Season,Kingdom: Season 3,キングダム 第3シリーズ,8.84,52106,31.0,1962,127849,2627,26.0,25 min per ep,2020.0,spring,TV,Finished Airing,R - 17+ (violence & profanity),Manga,Action,"Historical, Military",Seinen,"Studio Pierrot, Studio Signpost","Shueisha, NHK Enterprises",Funimation,"Following the successful Sanyou campaign, the Qin army, including 1,000-Man Commander Xin, inches ever closer to fulfilling King Ying Zheng's dream of unifying China. With a major geographical foothold in the state of Wei now under its control, Qin sets its sights eastward toward the remaining warring states.

Meanwhile Li Mu—an unparalleled strategist and the newly appointed prime minister of the state of Zhao—has taken advantage of Zhao's temporary truce with Qin to negotiate with the other st",Kingdom 3rd Season adapts chapters 261-364 of the original manga.
59571,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,Attack on Titan: The Last Attack,劇場版 進撃の巨人 完結編 THE LAST ATTACK,8.83,30129,33.0,2882,71139,521,1.0,2 hr 24 min,,,Movie,Finished Airing,R - 17+ (violence & profanity),Manga,"Action, Drama, Suspense","Gore, Military, Survival",Shounen,MAPPA,Pony Canyon,,A compilation movie for Shingeki no Kyojin: The Final Season - Kanketsu-hen.,
32281,Kimi no Na wa.,Your Name.,君の名は。,8.83,2045382,32.0,11,2968615,94593,1.0,1 hr 46 min,,,Movie,Finished Airing,PG-13 - Teens 13 or older,Original,"Award Winning, Drama",,,CoMix Wave Films,"TOHO, Sound Team Don Juan, Lawson HMV Entertainment, Amuse, JR East Marketing & Communications, Kadokawa, voque ting","Funimation, NYAV Post","Mitsuha Miyamizu, a high school girl, yearns to live the life of a boy in the bustling city of Tokyo—a dream that stands in stark contrast to her present life in the countryside. Meanwhile in the city, Taki Tachibana lives a busy life as a high school student while juggling his part-time job and hopes for a future in architecture.

One day, Mitsuha awakens in a room that is not her own and suddenly finds herself living the dream life in Tokyo—but in Taki's body! Elsewhere, Taki finds himself liv",Kimi no Na wa. won the LAFCA Animation Award in 2016 and the Best Animated Film in 2017 by Mainichi Film Awards. It also won the Grand Prize Award on the 20th Japan Media Arts Festival.
49387,Vinland Saga Season 2,Vinland Saga Season 2,ヴィンランド・サガ SEASON2,8.82,451297,34.0,271,807267,19469,24.0,25 min per ep,2023.0,winter,TV,Finished Airing,R - 17+ (violence & profanity),Manga,"Action, Adventure, Drama","Gore, Historical",Seinen,MAPPA,"Dentsu, Kodansha, Twin Engine",Crunchyroll,"After his father's death and the destruction of his village at the hands of English raiders, Einar wishes for a peaceful life with his family on their newly rebuilt farms. However, fate has other plans: his village is invaded once again. Einar watches helplessly as the marauding Danes burn his lands and slaughter his family. The invaders capture Einar and take him back to Denmark as a slave. 

Einar clings to his mother's final words to survive. He is purchased by Ketil, a kind slave owner and l","Vinland Saga Season 2 was released on Blu-ray and DVD in two volumes from June 21, 2023, to August 23, 2023."
60098,Boku no Hero Academia: Final Season,My Hero Academia Final Season,僕のヒーローアカデミア FINAL SEASON,8.81,76925,35.0,1220,224424,1916,11.0,23 min per ep,2025.0,fall,TV,Finished Airing,PG-13 - Teens 13 or older,Manga,Action,"School, Super Power",Shounen,Bones Film,"Bones, Dentsu, Yomiuri Telecasting, Movic, Sony Music Entertainment, TOHO animation, Shueisha, Techno Sound, Toho Music",,Final season of Boku no Hero Academia.,
